RefDes 	Name     	Pattern           	Center X (mm) 	Center Y (mm) 	Side   	Rotation 	Value          	Description 	Manufacturer c-r 
______________________________________________________________________________________________________________________________________________________

C1     	CAA1003  	CAP_0603_S4C      	32.374        	2.15          	Bottom 	270.0    	100nF 10% 50V  	            	                 
C2     	CAA1003  	CAP_0603_S4C      	7.28          	24.396        	Top    	0.0      	100nF 10% 50V  	            	                 
C3     	CAA1003  	CAP_0603_S4C      	31.724        	16.483        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C4     	CAB1005  	CAP_0805_S4C      	31.942        	14.26         	Bottom 	180.0    	10uF 10% 25V   	            	                 
C5     	CAA1004  	CAP_0603_S4C      	34.063        	2.164         	Bottom 	270.0    	1uF 10% 25V    	            	                 
C6     	CAA1003  	CAP_0603_S4C      	11.792        	23.302        	Top    	0.0      	100nF 10% 50V  	            	                 
C7     	CAA1003  	CAP_0603_S4C      	22.312        	24.319        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C8     	CAA1003  	CAP_0603_S4C      	22.235        	26.128        	Bottom 	180.0    	100nF 10% 50V  	            	                 
C9     	CAA1004  	CAP_0603_S4C      	22.245        	21.846        	Bottom 	180.0    	1uF 10% 25V    	            	                 
D1     	DIO0001  	SOD-123FL_S4C     	27.94         	1.905         	Bottom 	180.0    	SKL16          	            	                 
D2     	DIO0001  	SOD-123FL_S4C     	36.251        	14.376        	Bottom 	90.0     	SKL16          	            	                 
D3     	LED0001  	DIO_0603_S4C      	28.207        	27.649        	Top    	180.0    	RUB190TS       	            	                 
F1     	FSA7500  	RES_0603_S4C      	18.324        	1.405         	Top    	0.0      	               	Fuse        	                 
FD1    	FIDUCIAL 	FIDUCIAL_S4C      	36.136        	25.131        	Top    	90.0     	               	            	                 
FD2    	FIDUCIAL 	FIDUCIAL_S4C      	3.121         	3.148         	Top    	90.0     	               	            	                 
FD3    	FIDUCIAL 	FIDUCIAL_S4C      	35.66         	1.8           	Top    	90.0     	               	            	                 
FD4    	FIDUCIAL 	FIDUCIAL_S4C      	28.893        	28.642        	Bottom 	270.0    	               	            	                 
FD5    	FIDUCIAL 	FIDUCIAL_S4C      	1.837         	25.007        	Bottom 	270.0    	               	            	                 
FD6    	FIDUCIAL 	FIDUCIAL_S4C      	2.066         	2.14          	Bottom 	270.0    	               	            	                 
FID1   	Fiducial 	                  	13.672        	-4.628        	Top    	0.0      	               	            	                 
FID2   	Fiducial 	                  	-4.113        	17.856        	Top    	0.0      	               	            	                 
FID3   	Fiducial 	                  	146.288       	-4.758        	Bottom 	0.0      	               	            	                 
FID4   	Fiducial 	                  	163.258       	11.256        	Bottom 	0.0      	               	            	                 
FID5   	Fiducial 	                  	163.018       	152.749       	Bottom 	0.0      	               	            	                 
FID6   	Fiducial 	                  	146.049       	164.938       	Bottom 	0.0      	               	            	                 
FID7   	Fiducial 	                  	11.01         	164.938       	Bottom 	0.0      	               	            	                 
FID8   	Fiducial 	                  	-4.287        	151.314       	Bottom 	0.0      	               	            	                 
FID9   	Fiducial 	                  	11.03         	164.961       	Top    	0.0      	               	            	                 
FID10  	Fiducial 	                  	-4.243        	151.261       	Top    	0.0      	               	            	                 
