Revision:   799
Variant:    Variant of FP_20_Online_P1_V3_ST
Units used: mm

Designator Comment              Layer       Footprint                                       Center-X(mm) Center-Y(mm) Rotation MPN   
Fid6       Fiducial             BottomLayer Circ1                                          121.3090      75.1030      0            
Fid5       Fiducial             BottomLayer Circ1                                          120.0990     -13.9400      0            
Fid4       Fiducial             BottomLayer Circ1                                            9.6850       5.5300      0            
Fid3       Fiducial             TopLayer    Circ1                                          121.5000      74.7500      0            
Fid2       Fiducial             TopLayer    Circ1                                          121.0000     -14.0000      0            
Fid1       Fiducial             TopLayer    Circ1                                            4.5000       5.2500      0            

C1         4.7UF/6.3V           TopLayer    0603                                            70.5026      56.8923      90       CL10A475KQ8NNNC                      
C2         100UF/6.3V           TopLayer    CAP_SMDB                                        62.0126      15.7437      0        T491B107M006AT                       
C4         1UF                  BottomLayer 0603                                            90.6151      39.6899      90       CL10B105KO8NNNC                      
C5         100NF                BottomLayer 0603                                            62.1199      11.6407      90       CL10B104KA8NNN                       
C6         100NF                BottomLayer 0603                                            74.4259      23.0735      270      CL10B104KA8NNN                       
C7         1UF                  BottomLayer 0603                                            113.1691     44.0743      90       CL10B105KO8NNNC                      
C8         10uF                 TopLayer    0805                                            34.7000      8.4453       270      CL21B106KQQNNNG                      
C9         100NF                BottomLayer 0603                                            59.9119      23.0490      270      CL10B104KA8NNN                       
C10        100NF                BottomLayer 0603                                            70.5709      11.6407      90       CL10B104KA8NNN                       
C11        100NF                BottomLayer 0603                                            93.3666      24.6296      90       CL10B104KA8NNN                       
C12        100NF                BottomLayer 0603                                            106.5796     27.7320      90       CL10B104KA8NNN                       
C13        100NF                TopLayer    0603                                            71.6912      16.3819      0        CL10B104KA8NNN                       
C14        100nF                TopLayer    0603                                            29.3886      8.4327       270      CL10B104KA8NNN                       
C15        100NF                BottomLayer 0603                                            95.8297      50.2350      180      CL10B104KA8NNN                       
C32        1UF                  TopLayer    0603                                            5.6215       18.9451      270      CL10B105KO8NNNC                      
C35        1NF/2KV              TopLayer    1206                                            59.4600      29.0440      90       C1206C102KGRACTU                     
C40        1NF                  TopLayer    0603                                            93.4254      17.3084      0        CL10B102KB8NNND                      
C46        2.2UF                BottomLayer 0603                                            101.2264     36.2660      270      CL10A225KQ8NNNC                      
C52        1NF/2KV              BottomLayer 1206                                            98.5505      10.3975      180      C1206C102KGRACTU                     
C53        100NF                BottomLayer 0603                                            60.8995      41.3863      0        CL10B104KA8NNN                       
C54        100NF                BottomLayer 0603                                            60.2021      26.7120      0        CL10B104KA8NNN                       
C56        100NF                BottomLayer 0603                                            31.0000      15.9554      90       CL10B104KA8NNN                       
C57        100NF                TopLayer    0603                                            75.7189      20.3203      90       CL10B104KA8NNN                       
C59        100NF                BottomLayer 0603                                            81.8158      34.3258      180      CL10B104KA8NNN                       
C60        100NF                BottomLayer 0603                                            88.3452      42.4136      0        CL10B104KA8NNN                       
C61        100NF                BottomLayer 0603                                            81.4392      54.9804      90       CL10B104KA8NNN                       
C62        100NF                BottomLayer 0603                                            79.9829      54.9646      90       CL10B104KA8NNN                       
C63        100NF                BottomLayer 0603                                            88.3452      45.3027      0        CL10B104KA8NNN                       
C64        100NF                TopLayer    0603                                            80.7800      44.4237      180      CL10B104KA8NNN                       
C65        100NF                BottomLayer 0603                                            70.0006      50.6781      180      CL10B104KA8NNN                       
C66        100NF                TopLayer    0603                                            83.1555      45.1326      270      CL10B104KA8NNN                       
C67        100NF                BottomLayer 0603                                            75.2939      54.9715      90       CL10B104KA8NNN                       
C68        100NF                BottomLayer 0603                                            70.0255      47.1825      180      CL10B104KA8NNN                       
C73        10UF/6.3V            TopLayer    0603                                            80.9395      41.0231      0        CL10A106KQ8NNN                       
C74        10UF/6.3V            TopLayer    0603                                            77.9762      44.4475      180      CL10A106KQ8NNN                       
C75        10UF/6.3V            BottomLayer 0603                                            70.0476      49.0672      0        CL10A106KQ8NNN                       
C76        10UF/6.3V            BottomLayer 0603                                            76.8136      54.9432      270      CL10A106KQ8NNN                       
C78        10UF/6.3V            TopLayer    0603                                            78.9615      28.1516      0        CL10A106KQ8NNN                       
C79        1NF                  TopLayer    0603                                            77.8343      13.5126      180      CL10B102KB8NNND                      
C80        1NF                  TopLayer    0603                                            13.6333      12.5587      0        CL10B102KB8NNND                      
C81        1NF                  TopLayer    0603                                            13.6221      7.6956       180      CL10B102KB8NNND                      
C94        1UF                  TopLayer    0603                                            93.3784      23.9237      180      CL10B102KB8NNND                      
C96        100UF/6.3V           TopLayer    CAP_SMDB                                        55.6982      12.6023      0        T491B107M006AT                       
C97        100UF/6.3V           TopLayer    CAP_SMDB                                        109.5067     13.3569      180      T491B107M006AT                       
C100       100NF                BottomLayer 0603                                            59.8727      -3.8649      270      CL10B104KA8NNN                       
C103       100NF                BottomLayer 0603                                            31.0000      13.1985      90       CL10B104KA8NNN                       
C104       1UF/16V              BottomLayer 0603                                            20.9183      15.7064      270      CL10B105KO8NNNC                      
C105       100NF                BottomLayer 0603                                            27.4520      18.0823      0        CL10B104KA8NNN                       
C106       100NF                BottomLayer 0603                                            28.3205      10.5495      0        CL10B104KA8NNN                       
C107       1NF/2KV              BottomLayer 1206                                            97.1730      13.8866      180      C1206C102KGRACTU                     
CL1        S2711-46R            TopLayer    HARWIN_S2711-46R                                48.2559      33.1000      90       S2711-46R                            
CL2        S2711-46R            TopLayer    HARWIN_S2711-46R                                82.9869      66.1771      180      S2711-46R                            
CL3        S2711-46R            BottomLayer HARWIN_S2711-46R                                121.9559     33.1000      90       S2711-46R                            
CL4        S2711-46R            TopLayer    HARWIN_S2711-46R                                121.9559     33.1000      90       S2711-46R                            
CL5        S2711-46R            BottomLayer HARWIN_S2711-46R                                48.2439      29.5333      270      S2711-46R                            
CL6        S2711-46R            BottomLayer HARWIN_S2711-46R                                104.0000     66.1463      180      S2711-46R                            
CL7        S2711-46R            TopLayer    HARWIN_S2711-46R                                85.0750      -0.1960      0        S2711-46R                            
CL8        S2711-46R            BottomLayer HARWIN_S2711-46R                                85.1059      -0.0537      180      S2711-46R                            
D1         SMAJ5.0A             BottomLayer DO-214AC_FAIRCHILD                              110.6807     43.3885      270      SMAJ5.0A                             
D2         BAT54HT1G            TopLayer    SOD323_NXP                                      58.5945      62.1526      90       BAT54HT1G                            
D10        SMAJ5.0A             BottomLayer DO-214AC_FAIRCHILD                              14.8129      20.2882      180      SMAJ5.0A                             
D14        SP4020-01FTG         TopLayer    SOD323_NXP                                      90.2416      18.8072      0        SP4020-01FTG                         
D15        SM5819               TopLayer    MELF                                            68.7818      -7.9007      270      SM5819                               
D16        BAT54HT1G            BottomLayer SOD323_NXP                                      88.4534      54.2861      180      BAT54HT1G                            
D18        BAT54HT1G            TopLayer    SOD323_NXP                                      10.3979      9.3796       180      BAT54HT1G                            
D19        BAT54HT1G            TopLayer    SOD323_NXP                                      10.3979      12.5966      180      BAT54HT1G                            
D20        SP4020-01FTG         TopLayer    SOD323_NXP                                      77.5858      15.0130      0        SP4020-01FTG                         
D23        BAT54HT1G            TopLayer    SOD323_NXP                                      7.3150       7.6854       0        BAT54HT1G                            
D24        BAT54HT1G            TopLayer    SOD323_NXP                                      7.3586       12.5620      0        BAT54HT1G                            
D33        SP4020-01FTG         TopLayer    SOD323_NXP                                      10.3979      10.9817      180      SP4020-01FTG                         
D34        SP4020-01FTG         TopLayer    SOD323_NXP                                      10.3979      7.7108       180      SP4020-01FTG                         
D35        SP4021-01FTG         BottomLayer SOD323_NXP                                      36.4236      31.8423      180      SP4020-01FTG                         
D36        SP4021-01FTG         BottomLayer SOD323_NXP                                      16.9925      23.9626      270      SP4020-01FTG                         
D37        SP4020-01FTG         BottomLayer SOD323_NXP                                      91.6088      54.2719      180      SP4020-01FTG                         
D38        SP4021-01FTG         BottomLayer SOD323_NXP                                      31.0641      24.2114      90       SP4020-01FTG                         
D39        SP4021-01FTG         BottomLayer SOD323_NXP                                      23.1562      24.2114      90       SP4020-01FTG                         
D40        SP4020-01FTG         BottomLayer SOD323_NXP                                      36.4021      28.6717      180      SP4020-01FTG                         
D41        SP4020-01FTG         BottomLayer SOD323_NXP                                      24.6607      24.2114      90       SP4020-01FTG                         
D42        SP4020-01FTG         BottomLayer SOD323_NXP                                      32.6819      24.2114      90       SP4020-01FTG                         
D43        SP4020-01FTG         BottomLayer SOD323_NXP                                      15.4694      23.9423      270      SP4020-01FTG                         
D44        SP4020-01FTG         BottomLayer SOD323_NXP                                      29.5159      24.2114      90       SP4020-01FTG                         
D45        SP4020-01FTG         TopLayer    SOD323_NXP                                      86.9817      17.2358      180      SP4020-01FTG                         
D46        SP4020-01FTG         BottomLayer SOD323_NXP                                      20.9000      19.1996      90       SP4020-01FTG                         
J1         IDC2X10R20           TopLayer    IDC2X10R20H4.7_2143-2X10G00DP_OUPIIN_MIRR       61.8959      6.5863       0        2143-2X10G00DPU-P                    
J2         IDC2X20R20           TopLayer    IDC2X20R20H4.7_2143-2X20G00DP_OUPIIN_MIRR       99.1559      6.5863       0        2143-2X20G00DPU-P                    
J3         CVILUX_CF20          BottomLayer CF2020                                          55.7769      69.0555      0        2143-1X04G00DAU-P                    
J4         OUPIIN_2041          TopLayer    IDC2X10R254H8.4_ZL262-20DG_NINIGI               81.6759      62.0663      0        2041-2x10G00SA(B)                    
J5         IDC2X5R20            TopLayer    IDC2X5R20H4.7_2143-2X05G00DP_OUPIIN_MIRR        56.2659      38.6363      270      2143-2X05G00DPU-P                    
J8         TX24-30R-LT-H1E      TopLayer    SJ036977                                        82.0059      71.9188      180      TX24-30R-LT-H1E                      
J9         2X10R254             TopLayer    IDC2X10R254H8.4_ZL262-20DG_NINIGI               110.9059     70.9463      0        ZL262-20DG                           
J11        IDC2X5R1.27R2.54     TopLayer    IDC2X5R1.27R2.54_2244-2X04G00SU_OUPIIN_MF21     84.1500      23.7463      0        2244-2X04G00SU                       
J12        BM08B-GHS-TBT        BottomLayer BM08B-GHS-TBT                                   55.6560      74.1960      0        SM08B-GHS-TB                         
J13        PCIER-036AN41B2U     TopLayer    PCIER-036AN41                                   22.1000      29.6100      0        PCIER-036AN41B2U                     
J14        JST_BM20B            BottomLayer JST_SM20B-SHLDS-G-TF                            5.6000       12.5000      90       SM20B-SHLDS-G-TF                     
J15        RJ12GPCB-M           TopLayer    RJ12GPCB-M_NINIGI                               73.0500      -16.5800     180      RJ12GPCB-M                           
J16        WR-COM               TopLayer    CON_USBB_WE61400416121                          58.3500      -12.3508     180      61400416121                          
J17        WR-MJ                TopLayer    CON_WR-MJ_615008137421                          90.0000      -14.9670     0        615008137421                         
J18        MPJ-3P_ADAMTECH      TopLayer    MPJ-3P_ADAMTECH                                 108.7399     -14.9035     180      MPJ-3P                               
