CSD1	183.432	1300.914	270		0201_10pF_25V_np0_5%	C0201
R29205	117.000	1730.000	270		0402_0	R0402
R29204	153.000	1731.000	270		0402_0	R0402
R773	-170.500	3187.500	90		0402_0	R0402
R41	-20.426	1394.464	180		0402_0	R0402
R56	201.674	726.562	180		0402_0	R0402
R55	201.774	692.396	180		0402_0	R0402
R42	310.774	1305.832	180		0402_0	R0402
R766	88.400	3444.500	180		0402_0	R0402
C28390	249.000	3595.000	270		0402_0.1uF_16V_X7R_10%	C0402
C1683	272.006	1807.574	270		0402_0.1uF_16V_X7R_10%	C0402
C451	101.579	3602.308	270		0402_0.1uF_25V_X5R_10%	C0402
CA2	-178.000	3104.500	270		0402_0.1uF_25V_X5R_10%	C0402
C1655	259.200	1010.200	270		0402_0.1uF_25V_X5R_10%	C0402
C1664	305.906	1807.974	270		0402_0.1uF_25V_X5R_10%	C0402
C1421	433.000	1309.000	270		0402_0.1uF_25V_X5R_10%	C0402
C300	192.114	1032.054	180		0402_0.1uF_25V_X7R_10%	C0402
C209	192.514	998.154	180		0402_0.1uF_25V_X7R_10%	C0402
C50	194.346	1161.414	270		0402_0.1uF_25V_X7R_10%	C0402
C34	-30.186	1276.954	180		0402_0.1uF_25V_X7R_10%	C0402
C35	309.214	1224.154	180		0402_0.1uF_25V_X7R_10%	C0402
C1677	129.646	929.314	270		0402_0.22UF_6.3V_X5R_10%	C0402
C1680	42.646	925.814	270		0402_0.22UF_6.3V_X5R_10%	C0402
C1679	8.546	925.314	270		0402_0.22UF_6.3V_X5R_10%	C0402
C1678	95.346	929.414	270		0402_0.22UF_6.3V_X5R_10%	C0402
C685	-123.499	3122.000	180		0402_1000PF_50V_X7R_10%	C0402
C687	86.879	3479.208	0		0402_1000PF_50V_X7R_10%	C0402
C686	89.418	3346.467	0		0402_1000PF_50V_X7R_10%	C0402
R482	317.500	1574.000	270		0402_100K_1%	R0402
R456	140.536	3602.639	90		0402_10K	R0402
R1	259.728	2203.772	315		0402_10K	R0402
R50	-38.660	927.010	90		0402_10K_1%	R0402
C5	1.378	2358.500	180		0402_10uF_6.3V_X5R_20%	C0402
C8	1.378	2315.000	180		0402_10uF_6.3V_X5R_20%	C0402
C7	2.878	2269.500	180		0402_10uF_6.3V_X5R_20%	C0402
C1667	780.444	569.154	225		0402_10uF_6.3V_X5R_20%	C0402
C1684	819.000	458.378	270		0402_10uF_6.3V_X5R_20%	C0402
C1668	865.500	456.378	270		0402_10uF_6.3V_X5R_20%	C0402
C32	119.746	1294.314	270		0402_1uF_10V_X5R_10%	C0402
C31	21.046	1293.414	270		0402_1uF_10V_X5R_10%	C0402
C450	181.000	3601.500	270		0402_1uF_6.3V_X5R_10%	C0402
R57	154.256	1294.426	90		0402_22_1%	R0402
R478	210.500	1680.500	90		0402_4.7K	R0402
C223	155.500	1645.500	270		0402_4.7uF_6.3V_X5R_20%	C0402
R45	140.458	1013.726	90		0402_6.2K_1%	R0402
R769	-55.000	3122.500	180		0402_75	R0402
R768	88.490	3312.549	180		0402_75	R0402
R496	147.000	1523.000	270		0603_0	R0603
C207	-12.986	1351.254	180		0603_10uF_16V_X5R_20%	C0603
C33	321.314	1264.754	180		0603_10uF_16V_X5R_20%	C0603
C208	177.638	935.340	90		0603_4.7uF_10V_X5R_10%	C0603
C49	234.546	1171.214	270		0603_4.7uF_10V_X5R_10%	C0603
U1	166.468	2180.479	45		BD82044FVJ-GE2	TSSOP8
PCIE_SD	398.315	891.405	270		FPC0515-20B2-S3R	FPC20
PCIE_RJ45	409.415	3359.705	270		FPC0515-20B2-S3R	FPC20
JDB3	1029.500	971.350	90		FPC0515-50B2-S3R	FPC50
JSPK1	265.420	453.285	180		WF13-041G1R	9827WRS-04_4P
U2	58.800	1143.600	0		OZ711LV2	QFN32_4X4
V26	-131.500	3183.800	270		PESDNC2FD5VBS	TVS0402
V25	83.689	3515.908	0		PESDNC2FD5VBS	TVS0402
V23	85.828	3385.767	0		PESDNC2FD5VBS	TVS0402
D42	106.500	1875.800	270		SEL0521P1	TVS0402
D43	107.500	1813.200	90		SEL0521P1	TVS0402
D1	175.000	2336.700	90		SEL0521P1	TVS0402
D2	175.000	2396.800	270		SEL0521P1	TVS0402
CR1AU21	115.832	1399.704	270		SENC2F5V1B	TVS0402
CR1AU20	156.568	1399.664	270		SENC2F5V1B	TVS0402
CR1AU19	204.704	1375.268	180		SENC2F5V1B	TVS0402
CR1AU24	251.432	1325.504	270		SENC2F5V1B	TVS0402
CR1AU23	253.932	1258.904	270		SENC2F5V1B	TVS0402
CR1AU17	-27.768	649.804	270		SENC2F5V1B	TVS0402
CR1AU18	332.932	1392.104	270		SENC2F5V1B	TVS0402
CR1AU22	74.632	1399.804	270		SENC2F5V1B	TVS0402
